#,Course ID,Section,Class Name,Instructor,Department
96,ENGL A,1,Writing Workshop,Hunt,English
97,ENGL 001A,1,Critical Reading and Writing I,Hansen,English
98,ENGL 001B,1,Critical Reading and Writing II,Odom,English
99,ENGL 001B,2,Critical Reading and Writing II,Odom,English
100,ENGL 001B,3,Critical Reading and Writing II,Hunt,English
101,ENGL 001B,4,Critical Reading and Writing II,Goldweber,English
102,ENGL 001B,5,Critical Reading and Writing II,Goldweber,English
103,ENGL 001B,6,Critical Reading and Writing II,Hansen,English
104,ENGL 001B,7,Critical Reading and Writing II,Hansen,English
105,ENGL 001B,8,Critical Reading and Writing II,Hoffman,English
106,ENGL 018 1,1,Intensive Writing,Hunt,English
107,ENGL 018 2,1,Intensive Writing,Hunt,English
108,ENGL 018 3,1,Intensive Writing,Hunt,English
109,ENGL 022W,1,Dramatic Literature,Chapman,English
110,ENGL 107W,1,Creative Writing,Galindo,English
111,ENGL 108W,1,Professional Writing,Hansen,English
112,ENGL 122 W,1,Dramatic Literature,Chapman,English
113,ENGL 130,1,19th Century American Literature,Schmidt,English
114,ENGL 151,1,Children's Literature,Handler,English
115,ESLG 018 1,1,Intensive Writing,Hunt,English as a Second Language
116,ESLG 018 2,1,Intensive Writing,Hunt,English as a Second Language
117,ESLG 018 3,1,Intensive Writing,Hunt,English as a Second Language
118,ESLG 019,1,Academic Skills II,Hunt,English as a Second Language
119,ESLG 024B,1,Crit Reading/Writing for Non-Native Speakers,Hunt,English as a Second Language
120,ESLG 025,1,Techniques of Communicative Interaction,Hunt,English as a Second Language
121,FREN 002,1,Elementary French II,Alderman,French
122,HIST 017B,1,US History: Survey B,Patrinos,History
123,HIST 124,1,Contemporary Europe,Haine,History
124,HIST 177,1,Latino/Hispanic Experience,Galindo,History
125,HIST 196,1,Internship,Sawada,History
126,HIST 196 1,1,Internship,Sawada,History
127,HIST 196 2,1,Internship,Sawada,History
128,HIST 197,1,History of the Middle East & North Africa,Rasiah,History
129,ISAC 002,1,The Premodern World,Park,Integrative Studies Across Cultures
130,ISAC 002,2,The Premodern World,Handler,Integrative Studies Across Cultures
131,ISAC 004,1,The Contemporary World,Galindo,Integrative Studies Across Cultures
132,ISAC 004,2,The Contemporary World,Sawada,Integrative Studies Across Cultures
133,ISAC 101,1,The Ancient World,Lago,Integrative Studies Across Cultures
134,ISAC 101,2,The Ancient World,Salazar,Integrative Studies Across Cultures
135,ISAC 102,1,The Premodern World,Prentiss,Integrative Studies Across Cultures
136,ISAC 103,1,The Modern World,Patrick,Integrative Studies Across Cultures
137,ISAC 103,2,The Modern World,Rasiah,Integrative Studies Across Cultures
138,ISAC 104,1,The Contemporary World,Mayfield,Integrative Studies Across Cultures
139,ISAC 195W,1,"Senior Colloquium: ""Film Historical Injustices""",Sawada,Integrative Studies Across Cultures
140,ISAC 195W,2,"Senior Colloquium: ""Oakland""",Epstein,Integrative Studies Across Cultures
141,ISAC 195W,3,"Senior Colloquium: ""Spiritual Activism""",Salazar,Integrative Studies Across Cultures
142,ISAC 195W,4,"Senior Colloquium ""Protest""",Rasiah,Integrative Studies Across Cultures
143,ISAC 195W,5,Senior Colloquium: Memory,Handler,Integrative Studies Across Cultures
144,LALS 115,1,Latin American Art and Music Experience,Galindo,Latin American and Latino/a Studies
145,LALS 196,1,Internship,Galindo,Latin American and Latino/a Studies
146,LALS 197,1,Special Topics: Travel Course to Oaxaca,,Latin American and Latino/a Studies
147,CHDT 196 1,1,Internship,Rasiah,Liberal Studies
148,CHDT 196 1,2,Internship,,Liberal Studies
149,LBST 010,1,Introduction to Liberal Studies,Rasiah,Liberal Studies
150,LBST 196,1,Internship,Rasiah,Liberal Studies
151,LBST 196 1,1,Internship,Rasiah,Liberal Studies
152,LBST 196 2,1,Internship,Rasiah,Liberal Studies
153,LING 145,1,Fundamentals of Language,Alderman,Linguistics
154,LING 154,1,Sociolinguistics,Ward-Jackson,Linguistics
155,MATH 151,1,Math for Elementary School Teachers,Lakey,Math
156,MATH A,1,Algebra 2 Workshop,Apak,Mathematics
157,MATH A,2,Algebra 2 Workshop,Gomez,Mathematics
158,MATH C,1,Algebra 1 Workshop,Apak,Mathematics
159,MATH 001,1,Precalculus,Gomez,Mathematics
160,MATH 012,1,Calculus II,Gomez,Mathematics
161,MATH 060,1,Probability & Statistics,Dosalmas,Mathematics
162,MUSC 001B,1,World Music,Smith,Music
163,MUSC 013A,1,Renaissance to Baroque Music: Musicianship and Theory,Needleman,Music
164,MUSC 013B,1,Renaissance to Baroque Music: History and Theory,Hofer,Music
165,MUSC 016,1,Private Lessons,Hofer,Music
166,MUSC 017,1,Private Lessons/Second Instrument,Hofer,Music
167,MUSC 020B,1,Piano Class,Tsai,Music
168,MUSC 022B,1,Voice Class,Steward,Music
169,MUSC 060,1,HNU Chorus,Steward,Music
170,MUSC 061,1,HNU Chamber Singers,Horvath,Music
171,MUSC 062,1,HNU Chamber Ensemble,Hofer,Music
172,MUSC 063,1,HNU Orchestra,Hofer,Music
173,MUSC 064,1,Piano Ensemble,Varney,Music
174,MUSC 065,1,Accompanying,Hofer,Music
175,MUSC 071C,1,Perspectives in Music: History of Jazz,Binkov,Music
176,MUSC 094,1,Medieval & Renaissance Music Theory & History,Hofer,Music
177,MUSC 102,1,Bytes&Notes:IntroComputerTechnology,Hofer,Music
178,MUSC 105AW,1,Classical Music II: Musicianship & Theory,Needleman,Music
179,MUSC 105BW,1,Classical Music II: History & Theory,Cakebread,Music
180,MUSC 108A,1,Music of the 20th and 21st Centuries:Musicianship and Theory,Horvath,Music
181,MUSC 108B,1,Music of the 20th and 21st Centuries: History and Theory,Hofer,Music
182,MUSC 116,1,Private Lessons,Hofer,Music
183,MUSC 117,1,Private Lessons / Second Instrument,Hofer,Music
184,MUSC 120B,1,Piano Class,Tsai,Music
185,MUSC 122B,1,Class Voice,Steward,Music
186,MUSC 124,1,Opera Scenes Workshop,Kanouse,Music
187,MUSC 160,1,HNU Chorus,Steward,Music
188,MUSC 161,1,HNU Chamber Singers,Horvath,Music
189,MUSC 162,1,HNU Chamber Ensemble,Hofer,Music
190,MUSC 163,1,HNU Orchestra,Hofer,Music
191,MUSC 164,1,Piano Ensemble,Varney,Music
192,MUSC 165,1,Accompanying,Hofer,Music
193,MUSC 171C,1,Perspectives in Music: History of Jazz,Binkov,Music
194,MUSC 181B,1,Choral Conducting,Horvath,Music
195,MUSC 190A,1,Recital,Hofer,Music
196,MUSC 190B,1,Recital,Hofer,Music
197,NUTR 001,1,Fund of Nutrition,Peters,Nutrition
198,PHIL 040W,1,The Human Person,Lassalle-Klein,Philosophy
199,PHIL 040W,2,The Human Person,Park,Philosophy
200,PHIL 040W,3,The Human Person,Lassalle-Klein,Philosophy
201,PHIL 140W,1,The Human Person,Lassalle-Klein,Philosophy
202,PHIL 140W,2,The Human Person,Park,Philosophy
203,PHIL 140W,3,The Human Person,Lassalle-Klein,Philosophy
204,PHIL 156,1,Ethics at Work,Harrison,Philosophy
205,PHIL 180A,1,Tutorial: Theories of Knowledge,Gibson,Philosophy
206,PHED 010,1,StrnghtTrainingFitn,Sanchez,Physical Education
207,PHED 010,2,StrnghtTrainingFitn,Sanchez,Physical Education
208,PHED 010,3,StrnghtTrainingFitn,Sanchez,Physical Education
209,PHED 062,1,Intercollegiate:Basketball-Men,Sanchez,Physical Education
210,PHED 062,2,Intercollegiate:Basketball-Women,Turner,Physical Education
211,PHED 064,1,Intercol: Volleyball - Men,Combs,Physical Education
212,PHED 064,2,Intercol: Volleyball - Women,Combs,Physical Education
213,PHED 068,1,Intrcol:CrossCountry - Men,Rau,Physical Education
214,PHED 068,2,Intercol: Cross Country - Women,Rau,Physical Education
215,PHED 070,1,Intercollegiate:Golf - Men,Stone,Physical Education
216,PHED 072,1,Intcol:Soccer Men,Yamagishi,Physical Education
217,PHED 072,2,Intcol:Soccer Women,Yamagishi,Physical Education
218,PHED 074,1,Intercollegiate Softball,Thuer,Physical Education
219,PHED 075,1,Intercol Tennis- Women,Howard,Physical Education
220,PHED 076,1,Intercol Baseball,Carrion,Physical Education
221,PHED 097,1,Special Topics: Yoga,Lago,Physical Education
222,PHED 097,2,Special Topics: Hula,Patrinos,Physical Education
223,PHED 110,1,Physical Education for Teachers,Trampleasure,Physical Education
224,PHED 162,1,Intercollegiate:Basketball-Men,Sanchez,Physical Education
225,PHED 162,2,Intercollegiate:Basketball-Women,Turner,Physical Education
226,PHED 164,1,Intercol: Volleyball- Men,Combs,Physical Education
227,PHED 164,2,Intercol: Volleyball - Women,Combs,Physical Education
228,PHED 168,1,Intrcol: CrossCountry- Men,Rau,Physical Education
229,PHED 168,2,Intercol: Cross Country - Women,Rau,Physical Education
230,PHED 170,1,Intercollegiate:Golf,Stone,Physical Education
231,PHED 172,1,Intcol:Soccer Men,Yamagishi,Physical Education
232,PHED 172,2,Intcol:Soccer Women,Yamagishi,Physical Education
233,PHED 174,1,Intercollegiate Softball,Thuer,Physical Education
234,PHED 175,1,Intercol: Tennis - Women,Howard,Physical Education
235,PHED 176,1,Intercol: Baseball,Carrion,Physical Education
236,PHSC 015,1,Fundamentals Of Phys Science,Demirlioglu,Physical Science
237,PHYS 008B,1,General Physics II,Demirlioglu,Physics
238,PHYS 008BL,1,General Physics II Laboratory,Demirlioglu,Physics
239,PSCI 120,1,Dynamics Of International Relations,Patrinos,Political Science
240,PSCI 196,1,Internship,Patrinos,Political Science
241,PSCI 196 1,1,Internship,Patrinos,Political Science
242,PSCI 196 2,1,Internship,Patrinos,Political Science
243,PSYC 001,1,Intro to Psychology,Hannon,Psychology
244,PSYC 020,1,Intro Psych Seminar:Psych Of Humor,Lampert,Psychology
245,PSYC 030,1,IntroLife-SpanDvlpmt,Chin-Newman,Psychology
246,PSYC 063,1,Statistical Methods,Shopshire,Psychology
247,PSYC 100W,1,Experimental Psychology,Lampert,Psychology
248,PSYC 108W,1,Field Methods,Franskoviak,Psychology
249,PSYC 120,1,Learning and Cognition,Lampert,Psychology
250,PSYC 147,1,Gender Issues,Patrinos,Psychology
251,PSYC 160,1,Psychology of Personality,Isaacson,Psychology
252,PSYC 195W,1,Senior Seminar,Isaacson,Psychology
253,PSYC 195W,2,Senior Seminar,Isaacson,Psychology
254,PSYC 196,1,Internship,Lampert,Psychology
255,PSYC 196,2,Internship,Isaacson,Psychology
256,PSYC 196 1,1,Internship,Lampert,Psychology
257,PSYC 196 1,2,Internship,Isaacson,Psychology
258,PSYC 196 2,1,Internship,Lampert,Psychology
259,PSYC 196 2,2,Internship,Isaacson,Psychology
260,PSYC 197,1,Special Topics: Psychology of Humor,Lampert,Psychology
261,PSYC 197 1,1,Special Topics: Psychology Conventions,,Psychology
262,RLST 015,1,Introduction to the New Testament,Park,Religious Studies
263,RLST 075,1,World Wisdom Traditions,Sylvester,Religious Studies
264,RLST 115,1,Introduction to the New Testament,Park,Religious Studies
265,RLST 130A,1,Spirituality and Social Justice,Park,Religious Studies
266,RLST 175,1,World Wisdom Traditions,Sylvester,Religious Studies
267,RLST 177,1,Religion in Mexico,Lassalle-Klein,Religious Studies
268,RLST 197 2,1,Special Topics: Travel Course to Mexico,Galindo Lassalle-Klein,Religious Studies
269,SOCI 001,1,Intro to Sociology,Dukes,Sociology
270,SOCI 063,1,Statistical Methods,Shopshire,Sociology
271,SOCI 102W,1,Global Perspectives,Rasiah,Sociology
272,SOCI 105,1,Statistical Methods,Shopshire,Sociology
273,SOCI 108W,1,Field Methods,Franskoviak,Sociology
274,SOCI 147,1,Gender Issues,Patrinos,Sociology
275,SOCI 165,1,Racial & Ethnic Issues,Dukes,Sociology
276,SOCI 177,1,Latino/Hispanic Experience,Galindo,Sociology
277,SOCI 196,1,Internship,Gallo,Sociology
278,SOCI 196 1,1,Internship,Gallo,Sociology
279,SOCI 196 2,1,Internship,Gallo,Sociology
280,SPST 002,1,Beginning Spanish II,Berumen-Mangum,Spanish Studies
281,SPST 004,1,Intermediate Spanish II,Berumen-Mangum,Spanish Studies
282,SPST 101W,1,Advanced Spanish: Reading and Writing,Berumen-Mangum,Spanish Studies
283,SPST 102,1,AdvSpan:Listen&Speak,Berumen-Mangum,Spanish Studies
1,ARTSA197,1,Special Topics: Art of Today,Simons,Art
2,BIOLA001A,1,Principles of Biological Science,Limm,Biological Science
3,BIOLA001AL,1,Principles of Biological Science Lab,Limm,Biological Science
4,BIOLA011,1,Human Physiology,Peters,Biological Science
5,BIOLA011L,1,Human Physiology Laboratory,Hugenberger,Biological Science
6,BIOLA017,1,Human Anatomy,Owen,Biological Science
7,BIOLA017L,1,Human Anatomy Laboratory,Owen,Biological Science
8,BIOLA020,1,Allied Health Microbiology,Barrett,Biological Science
9,BIOLA020L,1,Allied Health Microbiology Laboratory,Pirkle,Biological Science
10,BSADA011,1,Principles of Accounting,Jacobus,Business
11,BSADA020,1,Quantitative Analysis for Business,Saez,Business
12,BSADA105,1,Decision Analysis for Business,Ohwobete,Business
13,CHEMA007,1,Intro Chemistry for Health Science,Schwietert,Chemistry
14,CHEMA007L,1,Intro to Chemistry for Health Science Lab,Schwietert,Chemistry
15,COMMA001,1,Essential Interpersonal Comm/Effect Speaking,Martin,Communications Studies
16,COMMA101,1,Organizational Communication,Martin,Communications Studies
17,ENGLA001A,1,Critical Reading & Writing I,Hart,English
18,ENGLA001B,1,Critical Reading & Writing II,Hart,English
19,ENGLA120,1,Fiction,Handler,English
20,HISTA183,1,California History,Sawada,History
21,ISACA102,1,Premodern World,Lago,Integrative Studies Across Cultures
22,ISACA104,1,Contemporary World,Lago,Integrative Studies Across Cultures
23,ISACA195W,1,"Sr. Colloquium: ""Garbage""",Gibson,Integrative Studies Across Cultures
24,LINGA145,1,Fundamentals of Language,Johnson,Linguistics
25,MATHA A,1,Algebra 2 Workshop,Andronic,Mathematics
26,MATHA A,2,Algebra 2 Workshop,Andronic,Mathematics
27,MATHA C,1,Algebra I Workshop,Levy,Mathematics
28,MATHA R,1,Refresher Mathematics Workshop,Imara,Mathematics
29,PHILA140W,1,The Human Person,Tanner,Philosophy
30,PHSCA015,1,Fund Of Phys Science,Demirlioglu,Physical Science
31,PSYCA001,1,Introduction to Psychology,Gade,Psychology
32,PSYCA063,1,Statistical Methods,Shopshire,Psychology
33,PSYCA167,1,Counseling Theories,Feren,Psychology
34,SOCIA001,1,Intor to Sociology,Huff,Sociology
35,SOCIA063,1,Statistical Methods,Shopshire,Sociology
36,SOCIA105,1,Statistical Methods,Shopshire,Sociology
1,BIOLA180,1,Epidemiology,Dukes,Biology
2,NURSA001,1,The Transition to Role of RN,Thomas,Nursing
3,NURSA009,1,Fundamentals of Nursing,Idowu,Nursing
4,NURSA009L,1,Fundamentals of Nursing Lab,Idowu,Nursing
5,NURSA009L,2,Fundamentals of Nursing Lab,,Nursing
6,NURSA010,1,Care of Adults,D'Autruche,Nursing
7,NURSA010L,1,Care of Adults Clinical,Rajan,Nursing
8,NURSA010L,2,Care of Adults Clinical,Olsen-Vanoni,Nursing
9,NURSA010L,3,Care of Adults Clinical,,Nursing
10,NURSA011,1,Care of the Mentally Ill,Thomas,Nursing
11,NURSA011L,1,Care of the Mentally Ill Clinical,Berry,Nursing
12,NURSA011L,2,Care of the Mentally Ill Clinical,Corlito,Nursing
13,NURSA031,1,Health Assessment,,Nursing
14,NURSA041,1,Nursing Research,Edelstein,Nursing
15,NURSA120,1,Maternal Health,Ronquillo,Nursing
16,NURSA120L,1,Maternal Health Clinical,Brown-Price,Nursing
17,NURSA120L,2,Maternal Health Clinical,Chop,Nursing
18,NURSA130,1,Care of Children,Cockerham,Nursing
19,NURSA130L,1,Care of Children Clinical,,Nursing
20,NURSA130L,2,Care of Children Clinical,,Nursing
21,NURSA130L,3,Care of Children Clinical,,Nursing
22,NURSA130L,4,Care of Children Clinical,,Nursing
23,NURSA140,1,Care of the Elderly,Prasad,Nursing
24,NURSA140L,1,Care of the Elderly Clinical,Botchey,Nursing
25,NURSA140L,2,Care of the Elderly Clinical,Jackson,Nursing
26,NURSA142L,1,Community Health Nursing Clinical,Edelstein,Nursing
27,NURSA142L,2,Family/Comm Health Nursing I Practicum,Edelstein,Nursing
28,NURSA142W,1,Community Health Nursing,Edelstein,Nursing
29,NURSA151,1,Leardership & Management In Nursing,Pinio,Nursing
30,NURSA151L,1,Leadership/Managemt Nursing Practicum,Earls,Nursing
31,NURSA151L,2,Leadership/Managemt Nursing Practicum,Earls,Nursing
32,NURSA161,1,Evidence Based Nursing Practice,Edelstein,Nursing
1,ISACN195W,1,"Senior Colloq ""The Search for Meaning in Modern Art and Lit""",Handler,Integrative Studies Across Cultures
2,NURSN131,1,Health Assessment,Corpuz,Nursing
3,NURSN142L,1,Community Health Nursing Lab,Davis,Nursing
4,NURSN142W,1,Community Health Nursing,Canton,Nursing
5,NURSN195W,1,Senior Seminar,Coicou,Nursing
6,RLSTN175,1,World Wisdom Traditions,Harrison,Religious Studies
7,SOCIN105,1,Statistical Methods,Shopshire,Sociology
8,SOCIN156,1,Sociology of Health Care & Health Policy,Thomas,Sociology
1,BSAD 229,1,Financial Management,Xu,Business
2,CPSY 208,1,Substance Abuse Assessment and Treatment,Franskoviak,Counseling Psychology
3,CPSY 209A,1,"Assess, Diagnosis and Treatment of Victim",Gallo,Counseling Psychology
4,CPSY 209B,1,"Assess, Diagnosis and Treatment of the Offender",Gallo,Counseling Psychology
5,CPSY 212,1,ForensicPsycSeminar,Kelley,Counseling Psychology
6,CPSY 215,1,The Law and Professional Ethics,Silva,Counseling Psychology
7,CPSY 226,1,Adv Issues in Correct & Comm Counseling,Byars,Counseling Psychology
8,CPSY 235,1,Advanced Human Diversity Issues,Smith,Counseling Psychology
9,CPSY 240A,1,Alcohol & Chemical Dependency,Strouzas,Counseling Psychology
10,CPSY 240B,1,Child Abuse Assessment and Reporting,Byars,Counseling Psychology
11,CPSY 245A,1,Human Sexuality & Counseling,Feren,Counseling Psychology
12,CPSY 245B,1,Psychopharmacology,Gharib,Counseling Psychology
13,CPSY 245C,1,HIV/AIDS Assessment and Treatment,Strouzas,Counseling Psychology
14,CPSY 260,1,Treatment of Children,Kim,Counseling Psychology
15,CPSY 265,1,Group Psychotherapy,Strouzas,Counseling Psychology
16,CPSY 265 2,1,Group Psychotherapy,Strouzas,Counseling Psychology
17,CPSY 273,1,Traumatology and Demographics,Walsh,Counseling Psychology
18,CPSY 274,1,"Neurobiology of Trauma: Risk,Resiliency &PositivePsychology",Isaacson,Counseling Psychology
19,CPSY 280 2,1,Psychological Assessment,Franskoviak,Counseling Psychology
20,CPSY 285,1,Intro to Supervised Practicum/Case Seminar,Strouzas,Counseling Psychology
21,CPSY 290,1,Supervised Practicum and Case Seminar I,Shoemaker,Counseling Psychology
22,CPSY 290,2,Supervised Practicum and Case Seminar I,Silva,Counseling Psychology
23,CPSY 295,1,Supervised Practicum and Case Seminar I,Shoemaker,Counseling Psychology
24,CPSY 297,1,Special Topics:Career Development Theories and Techniques,Byars,Counseling Psychology
25,CPSY 298,1,Integrating Seminar,Shoemaker,Counseling Psychology
26,EDUC 200,1,Social Foundations in Education,Mayfield,Education
27,EDUC 201,1,Educational Psychology,Henderson,Education
28,EDUC 202B,1,Multicultural Education,Epstein,Education
29,EDUC 203,1,Theories/Methods Second Language Acquisition,McCall-Perez,Education
30,EDUC 241,1,Issues in Urban Education,Epstein,Education
31,EDUC 265,1,Behavior Management,Kosmos,Education
32,EDUC 266,1,Practicum in Assessment,Marshall,Education
33,EDUC 267,1,Counseling/Collaboration Skills for Professionals,Kosmos,Education
34,EDUC 268A,1,Role of The Eductional Therapist,Marshall,Education
35,EDUC 271,1,Technology for Students with MM Disabilities,Pachelo,Education
36,EDUC 290,1,Educational Research,McCall-Perez,Education
37,EDUC 292,1,Educational Evaluation,Battle,Education
38,EDUC 293,1,Proposal Development,,Education
39,EDUC 293 2,1,Proposal Development,,Education
40,EDUC 296,1,Using Educational Research Tools,Battle,Education
41,EDUC 297,1,"Professional Academic Writing, Graduate Level",Johnson,Education
42,EDUC 297 2,1,"Professional Academic Writing, Graduate Level",Johnson,Education
43,EDUC 298A,1,Culminating Scholarly Activity,McCall-Perez,Education
44,EDUC 298A,2,"Masters Culminating Activity, in progress",Marshall,Education
45,EDUC 298A,3,"Masters Culminating Activity, in progress",Maestre,Education
46,EDUC 298A,4,"Masters Culminating Activity, in progress",Battle,Education
47,EDUC 298A,5,"Masters Culminating Activity, in progress",Johnson,Education
48,EDUC 298B,1,"Masters Culminating Activity, in progress",McCall-Perez,Education
49,EDUC 298B,2,"Masters Culminating Activity, in progress",Marshall,Education
50,EDUC 298B,3,"Masters Culminating Activity, in progress",Maestre,Education
51,EDUC 298B,4,"Masters Culminating Activity, in progress",Henderson,Education
52,EDUC 298B,5,"Masters Culminating Activity, in progress",Battle,Education
53,EDUC 298B,6,"Masters Culminating Activity, in progress",Johnson,Education
54,EDUC 298C,1,"Masters Culminating Activity, in progress",McCall-Perez,Education
55,EDUC 298C,2,"Masters Culminating Activity, in progress",Marshall,Education
56,EDUC 298C,3,"Masters Culminating Activity, in progress",Maestre,Education
57,EDUC 298C,4,"Masters Culminating Activity, in progress",Henderson,Education
58,EDUC 298C,5,"Masters Culminating Activity, in progress",Battle,Education
59,EDUC 298C,6,"Masters Culminating Activity, in progress",Johnson,Education
60,ENGL 220,1,Fiction,Handler,English
61,LING 245,1,Fundamentals of Language,Johnson,Linguistics
62,MUSC 216,1,Private Lessons,Hofer,Music
63,MUSC 224,1,Opera Scenes Workshop,Kanouse,Music
64,MUSC 226,1,Studies in Piano Literature,Woo,Music
65,MUSC 231,1,Grad Sem in Musical Lit,Hofer,Music
66,MUSC 243B,1,Folk Music,Laskey,Music
67,MUSC 244B,1,Solfege and Musicianship,Horvath,Music
68,MUSC 247B,1,Kodaly Pedagogy,Laskey,Music
69,MUSC 252,1,Advanced Piano Pedagogy,Varney,Music
70,MUSC 255,1,Advanced Vocal Pedagogy,Howe,Music
71,MUSC 261,1,HNU Chamber Singers,Horvath,Music
